mz,time,Name,note
359.8407,14.3588,PCB-169,mz0
219.9841,7.2785,PCB-52,mz0
393.8018,13.7861,PCB-180,mz0
255.9603,6.3416,PCB-18,mz0
255.9609,7.033,PCB-31,mz0
255.9609,7.033,PCB-28,mz0
219.9842,7.8958,PCB-44,mz0
393.8019,14.0807,PCB-170,mz0
467.6997,18.5067,PBB-153,mz0
483.6947,18.9047,PBDE-153,mz0
245.9676,11.0445,PBDE-28,mz0
403.7865,16.9587,PBDE-99,mz0
355.8537,14.309,"1,2,3,7,8-PCDD",mz0
389.8151,16.4268,"1,2,3,4,7,8-HxCDD",mz0
305.8982,11.6624,"2,3,7,8-TCDF",mz0
373.8199,15.8109,"1,2,3,4,7,8-HxCDF",mz0
407.7812,16.541,"1,2,3,4,6,7,8-HepCDF",mz0
443.7392,19.3345,OCDF,mz0
160.0506,15.0708,Azinphos ethyl ,mz0
104.0257,14.2336,Azinphos methyl ,mz0
348.9255,7.9857,Chlorpyrifos ,mz0
320.894,7.1657,Chlorpyrifos methyl ,mz0
304.1004,6.5063,Diazinon ,mz0
323.0372,13.2171,EPN ,mz0
277.017,7.6952,Fenitrothion ,mz0
313.0411,6.6711,Isazophos ,mz0
366.9863,14.0922,Phosalone ,mz0
316.9937,13.0636,Phosmet ,mz0
333.127,8.446,Pirimiphos ethyl ,mz0
305.0958,7.6795,Pirimiphos methyl ,mz0
360.0459,15.4356,Pyraclofos ,mz0
373.0855,15.0461,Pyrazophos ,mz0
340.0644,13.0164,Pyridaphenthion ,mz0
298.0536,8.9472,Quinalphos ,mz0
361.8748,8.3798,Aldrin ,mz0
180.9373,5.8529,a-BHC,mz0
180.9373,6.1403,b-BHC,mz0
180.9373,6.2469,g-BHC,mz0
180.9373,6.625,d-BHC,mz0
267.9875,9.0867,Chlorbenside ,mz0
405.7975,9.0598,cis-Chlordane ,mz0
405.7969,9.3191,trans-Chlordane ,mz0
301.9569,9.6434,Chlorfenson (Ovex) ,mz0
205.9899,4.8457,Chloroneb ,mz0
319.951,10.0159,"2,4'-DDD ",mz0
319.95,10.8567,"4,4'-DDD ",mz0
315.9376,9.1641,"2,4'-DDE ",mz0
315.9376,9.8847,"4,4'-DDE ",mz0
235.0076,10.8544,"2,4'-DDT ",mz0
235.0076,11.7615,"4,4'-DDT ",mz0
249.9948,8.1241,"4,4'-Dichlorobenzophenone ",mz0
138.9945,9.3973,"4,4'-Dichlorobenzophenone-1",mz0
138.9945,10.1407,"4,4'-Dichlorobenzophenone-2",mz0
377.8699,9.9071,Dieldrin ,mz0
339.8544,6.8605,Endosulfan ether ,mz0
344.8985,10.3481,Endrin aldehyde ,mz0
316.9035,12.6611,Endrin ketone ,mz0
306.0972,21.83,Ethylan (Perthane) ,mz0
267.9957,8.2116,Fenson ,mz0
385.8155,8.5869,Heptachlor epoxide (isomer B) ,mz0
361.8748,8.3835,Isodrin ,mz0
344.0133,11.994,"2,4'-Methoxychlor ",mz0
308.0366,11.5709,"4,4'-Methoxychlor olefin ",mz0
271.8098,14.2467,Mirex ,mz0
439.7579,9.3874,cis-Nonachlor ,mz0
439.7581,10.7455,trans-Nonachlor ,mz0
277.8621,5.9472,Pentachloroanisole ,mz0
293.8394,7.6003,Pentachlorothioanisole ,mz0
353.8837,13.7214,Tetradifon ,mz0
335.1082,5.7433,Benfluralin ,mz0
154.0773,4.2886,Biphenyl ,mz0
263.8806,6.5359,Chlorothalonil,mz0
331.9619,7.8132,Dichlofluanid ,mz0
205.9643,6.0773,Dichloran ,mz0
160.9795,6.2347,"3,4-Dichloroaniline ",mz0
170.9639,4.0274,Dichlobenil,mz0
169.0885,5.5202,Diphenylamine ,mz0
333.0924,5.6243,Ethalfluralin ,mz0
306.0689,6.5269,Fluchloralin ,mz0
309.1684,8.5319,Isopropalin ,mz0
345.0986,12.6644,Nitralin ,mz0
282.9797,10.5717,Nitrofen ,mz0
361.0321,10.2983,Oxyfluorfen ,mz0
281.1368,8.6136,Pendimethalin ,mz0
262.8626,6.9352,Pentachloroaniline ,mz0
272.847,6.3088,Pentachlorobenzonitrile ,mz0
321.0802,7.7346,Prodiamine ,mz0
347.1084,6.365,Profluralin ,mz0
228.9015,5.5112,"2,3,5,6-Tetrachloroaniline ",mz0
151.0629,4.8512,THPI (Tetrahydrophthalimide) ,mz0
345.9763,5.4977,Tolylfluanid ,mz0
335.1077,5.7119,Trifluralin ,mz0
269.1177,7.1622,Acetochlor ,mz0
269.1176,7.2979,Alachlor ,mz0
173.0601,3.7143,Allidochlor ,mz0
239.0706,7.2732,Clomazone (Command) ,mz0
234.0431,11.7356,Diallate_cis,mz0
234.0431,11.7356,Diallate_trans,mz0
255.1022,7.0769,Dimethachlor ,mz0
349.1669,13.6411,Fenpropathrin ,mz0
375.0082,16.0282,Fluquinconazole ,mz0
323.1123,9.8644,Flutolanil ,mz0
277.976,8.6439,Metazachlor ,mz0
344.0127,13.465,Methoxychlor ,mz0
283.1331,7.3765,Metolachlor ,mz0
120.0806,4.8117,"N-(2,4-Dimethylphenyl)formamide ",mz0
303.0384,11.7401,Norflurazon ,mz0
344.0693,10.1653,Oxadiazon ,mz0
311.1646,9.9564,Pretilachlor,mz0
375.0331,4.3749,Prochloraz ,mz0
211.0759,7.9383,Propachlor ,mz0
217.0057,7.1084,Propanil ,mz0
283.1331,7.3765,Propisochlor ,mz0
364.1371,16.1315,Pyridaben ,mz0
333.1602,13.7677,Tebufenpyrad ,mz0
15170731.0,6.7837,Triallate ,mz0
316.1564,10.3161,Bupirimate ,mz0
346.9082,12.5452,Captafol ,mz0
298.9345,4.6918,Captan ,mz0
405.9691,10.49,Chlorfenapyr ,mz0
225.1255,8.6561,Cyprodinil ,mz0
376.2036,17.7026,Etofenprox ,mz0
245.9182,4.6267,Etridiazole ,mz0
435.9402,10.5596,Fipronil ,mz0
248.0395,9.8722,Fludioxonil ,mz0
329.0998,18.0406,Fluridone (Sonar) ,mz0
315.1005,10.2503,Flusilazole ,mz0
301.1024,17.8443,Flutriafol ,mz0
294.9029,9.0587,Folpet ,mz0
329.0326,13.0907,Iprodione ,mz0
234.1364,11.8523,Lenacil ,mz0
275.188,8.4464,MGK-264 ,mz0
275.188,8.6975,MGK_264_1,mz0
288.1137,10.1875,Myclobutanil ,mz0
125.0154,9.4776,Paclobutrazol ,mz0
283.0621,5.4871,Penconazole ,mz0
283.0162,9.0039,Procymidone ,mz0
350.1544,12.4693,Propargite ,mz0
199.1098,6.5663,Pyrimethanil ,mz0
321.1346,19.3654,Pyriproxyfen ,mz0
307.1446,12.3044,Tebuconazole ,mz0
216.066,6.6483,Terbacil-1,mz0
229.109,6.4285,Terbuthylazine ,mz0
189.0353,9.7936,Tricyclazole (Beam)-1,mz0
345.0851,9.1171,Triflumizole ,mz0
284.9954,7.2467,Vinclozolin ,mz0
541.1328,15.3521,Acrinathrin ,mz0
208.0515,8.0321,Anthraquinone ,mz0
422.125,13.4226,Bifenthrin ,mz0
302.188,8.993,Bioallethrin ,mz0
433.0636,16.9059,Cyfluthrin-1,mz0
433.064,17.0775,Cyfluthrin-2,mz0
433.0642,17.1256,Cyfluthrin-3,mz0
433.0644,17.2154,Cyfluthrin-4,mz0
449.1007,14.9158,lambda-Cyhalothrin ,mz0
449.1003,14.6579,gama-Cyhalothrin ,mz0
415.0732,17.3198,Cypermethrin_1,mz0
415.0738,17.4801,Cypermethrin_2,mz0
415.0742,17.5161,Cypermethrin_3,mz0
415.0738,17.5789,Cypermethrin_4,mz0
173.9861,18.7539,Deltamethrin_1,mz0
502.9727,18.8233,Deltamethrin_2,mz0
419.1287,18.2542,Fenvalerate_1,mz0
419.1285,18.4512,Fenvalerate_2,mz0
451.1588,17.5677,Flucythrinate_1,mz0
451.1589,17.8076,Flucythrinate_2,mz0
502.1266,18.4242,tau-Fluvalinate_1,mz0
502.1268,18.5051,tau-Fluvalinate_2,mz0
390.0787,16.0042,cis-Permethrin ,mz0
390.0782,16.2281,trans-Permethrin ,mz0
350.1877,14.0307,Phenothrin_cis,mz0
350.1877,14.0554,Phenothrin_trans,mz0
338.1877,12.7986,Resmethrin ,mz0
